title,release_date,vote_average,budget,vote_count,revenue,runtime,production_country,genres,release_year
Casei-me Com um Morto,1950-02-21,6.872,0,47,0,98,United States of America,"Drama, Crime, Thriller",1950
A Rosa Negra,1950-09-01,6.6,0,23,0,120,United Kingdom,"Guerra, Aventura, História",1950
A Buzina,1950-04-28,6.6,0,53,0,6,United States of America,"Animação, Comédia",1950
Le Rosier de madame Husson,1950-09-20,6.1,0,7,0,84,France,Comédia,1950
A Voz do Sangue,1950-01-06,4.9,400000,13,0,71,United States of America,"Faroeste, Ação",1950
À Margem da Vida,1950-05-19,7.061,0,82,0,96,United States of America,"Crime, Drama",1950
Casimir,1950-04-19,5.6,0,5,0,87,France,Comédia,1950
Nascida Ontem,1950-12-26,7.26,0,183,0,103,United States of America,"Comédia, Romance",1950
No Place for Jennifer,1950-01-17,5.1,0,5,0,89,United Kingdom,Drama,1950
Paid in Full,1950-02-15,6.6,0,8,0,98,United States of America,Drama,1950
Angelo tra la folla,1950-10-17,5.0,0,1,0,0,Italy,Drama,1950
Dora la espía,1950-04-26,0.0,0,0,0,0,"Spain, Italy",Drama,1950
Espíritos Indômitos,1950-08-25,7.017,0,86,0,85,United States of America,Drama,1950
Um Conde na Sinuca,1950-07-19,5.6,0,17,0,92,United States of America,"Música, Comédia, Faroeste",1950
The Astonished Heart,1950-03-17,3.8,0,5,0,85,United Kingdom,"Drama, Romance",1950
The Voice of the Turkey,1950-10-13,0.0,0,0,0,6,United States of America,"Animação, Comédia",1950
O Barão Aventureiro,1950-03-04,6.65,0,60,0,97,United States of America,"Romance, Faroeste, Drama",1950
Gambling House,1950-12-27,6.1,0,15,0,80,United States of America,"Crime, Drama",1950
El último caballo,1950-11-23,6.2,0,12,0,85,Spain,"Comédia, Drama",1950
Pavor nos Bastidores,1950-02-23,6.8,1450000,359,1900000,110,United Kingdom,Thriller,1950
Agora Sou Tua,1950-10-13,6.3,0,13,0,91,United States of America,"Ação, Romance",1950
Entre Dois Juramentos,1950-10-12,6.2,0,29,0,92,United States of America,"Faroeste, Guerra",1950
O Sentenciado,1950-08-01,6.081,0,31,0,91,United States of America,"Crime, Drama",1950
O Gavião e a Flecha,1950-07-07,6.3,0,85,0,88,United States of America,"Aventura, História",1950
Marshal of Heldorado,1950-04-21,3.0,0,4,0,54,United States of America,Faroeste,1950
I gabestokken,1950-10-30,6.0,0,2,0,0,Denmark,Drama,1950
Hi-Jacked,1950-07-07,5.0,0,8,0,65,United States of America,"Crime, Drama",1950
Caiçara,1950-06-08,7.0,0,3,0,86,Brazil,Drama,1950
La Marie du port,1950-02-27,5.5,0,18,0,100,France,"Drama, Romance",1950
Your Witness,1950-03-06,6.0,0,8,0,94,United Kingdom,"Drama, Crime",1950
Blonde Dynamite,1950-02-12,5.0,0,1,0,66,United States of America,"Comédia, Crime",1950
Passos na Noite,1950-07-07,7.2,0,200,0,95,United States of America,"Crime, Drama, Thriller",1950
Kastrullresan,1950-12-16,0.0,0,0,0,81,Sweden,Família,1950
Jackdaw,1950-12-31,0.0,0,0,0,14,,,1950
On n'aime qu'une fois,1950-06-09,0.0,0,0,0,82,France,"Comédia, Drama",1950
Schwarzwaldmädel,1950-09-07,5.8,0,2,0,100,Germany,"Romance, Música, Comédia",1950
にっぽんGメン 第二話 難船﨑の血闘,1950-01-03,0.0,0,0,0,91,Japan,"Drama, Ação, Crime",1950
Six Gun Mesa,1950-04-30,10.0,0,1,0,56,United States of America,Faroeste,1950
My Country 'Tis of Thee,1950-12-01,5.0,0,5,0,19,United States of America,Documentário,1950
Cinco locos en la pista,1950-09-15,0.0,0,0,0,69,Argentina,Comédia,1950
A Morte não é o Fim,1950-02-18,6.32,0,25,0,94,United States of America,"Drama, Ação, Guerra",1950
Don Juan,1950-10-16,6.3,0,3,0,124,Spain,"Aventura, Comédia, Drama, Romance",1950
Ce siècle a cinquante ans,1950-03-16,0.0,0,0,0,86,"Germany, France",Documentário,1950
Prehistoric Women,1950-11-01,2.583,0,18,0,74,United States of America,"Fantasia, Aventura",1950
Na Boca do Lobo,1950-04-07,5.594,0,32,0,89,United States of America,"Crime, Drama, Thriller",1950
Did'ja Know?,1950-05-06,4.333,0,3,0,8,United States of America,Comédia,1950
E...O Mulo Falou,1950-02-08,5.607,0,28,0,91,United States of America,"Comédia, Família, Fantasia, Guerra",1950
Killer Shark,1950-03-19,6.0,0,5,0,76,United States of America,Aventura,1950
Undercover Girl,1950-11-02,5.188,0,8,0,83,United States of America,"Crime, Drama, Mistério",1950
Três Palavrinhas,1950-07-12,6.1,1470000,14,4526000,102,United States of America,"Música, Comédia, Romance",1950
Surajmukhi,1950-12-31,0.0,0,0,0,0,India,Drama,1950
Better Use of Leisure Time,1950-12-31,0.0,0,0,0,11,,,1950
Bürgermeister Anna,1950-03-24,0.0,0,0,0,88,East Germany,Comédia,1950
El cielo en las manos,1950-03-20,0.0,0,0,0,89,Argentina,Drama,1950
The Reluctant Widow,1950-05-01,6.5,0,2,0,91,United Kingdom,Drama,1950
Kim,1950-12-07,6.482,0,28,0,113,United States of America,"Aventura, Drama, Família",1950
Armored Car Robbery,1950-06-08,6.507,0,68,0,67,United States of America,"Thriller, Crime, Ação",1950
また逢う日まで,1950-03-21,6.3,0,9,0,111,Japan,"Romance, Guerra, Drama",1950
O Testamento de Deus,1950-05-11,6.927,0,48,0,90,United States of America,"Drama, Faroeste",1950
La villa dei mostri,1950-04-01,5.7,0,3,0,10,Italy,Documentário,1950
As Cartas de Madeleine,1950-02-16,6.779,0,34,0,115,United Kingdom,"Drama, Crime, Mistério",1950
Maldição,1950-03-23,6.725,0,102,0,88,United States of America,"Thriller, Crime, Drama",1950
O Azar de um Valente,1950-02-17,6.8,0,13,0,82,United States of America,"Comédia, Guerra",1950
Golden Yeggs,1950-08-05,6.321,0,28,0,7,United States of America,"Animação, Comédia",1950
La montagne est verte,1950-06-01,0.0,0,0,0,0,,Documentário,1950
O Escândalo,1950-04-26,6.894,0,94,0,104,Japan,Drama,1950
Little Quacker,1950-01-07,7.0,0,51,0,7,United States of America,"Animação, Comédia",1950
König für eine Nacht,1950-12-22,4.4,0,5,0,100,,"História, Comédia",1950
La forza del destino,1950-01-24,5.0,0,1,0,100,Italy,"Drama, Música",1950
As Minas do Rei Salomão,1950-11-09,6.5,2300000,125,15057465,103,United States of America,"Aventura, Ação, Romance",1950
Les Anciens de Saint-Loup,1950-09-08,5.9,0,9,0,90,France,Drama,1950
Father Makes Good,1950-05-07,6.0,0,1,0,61,United States of America,Comédia,1950
Redenção Sangrenta,1950-10-06,7.1,0,88,0,98,United States of America,"Crime, Drama",1950
As Últimas Férias,1950-05-15,7.13,0,54,0,88,United Kingdom,"Comédia, Drama",1950
赤城から来た男,1950-10-07,0.0,0,0,0,95,Japan,,1950
Gold Strike,1950-03-30,0.0,0,0,0,25,United States of America,Faroeste,1950
The Happiest Days of Your Life,1950-03-08,6.7,0,41,0,81,United Kingdom,Comédia,1950
Triple Trouble,1950-08-13,6.2,0,4,0,67,United States of America,Comédia,1950
Cordula,1950-09-27,2.0,0,1,0,0,Austria,Drama,1950
宗方姉妹,1950-08-08,7.1,0,34,0,112,Japan,Drama,1950
Södrans Revy,1950-11-06,0.0,0,0,0,85,Sweden,Música,1950
てんやわんや,1950-07-23,0.0,0,0,0,96,Japan,Comédia,1950
Alguém Deixou Este Mundo,1950-01-26,5.783,0,30,0,91,United States of America,"Mistério, Crime, Thriller",1950
La muerte está mintiendo,1950-07-26,0.0,0,0,0,87,Argentina,"Crime, Drama",1950
雪夫人絵図,1950-10-21,6.685,0,27,0,85,Japan,Drama,1950
The Reformer and the Redhead,1950-05-05,7.0,0,4,0,90,United States of America,"Comédia, Romance",1950
Traveller's Joy,1950-12-25,5.7,0,3,0,78,United Kingdom,Comédia,1950
Feras que Foram Homens,1950-02-20,6.6,0,25,0,106,United States of America,"Guerra, Drama",1950
Mujeres en mi Vida,1950-04-05,3.143,0,7,0,100,Mexico,"Música, Drama, Comédia",1950
Chance of a Lifetime,1950-04-24,6.3,0,9,0,89,United Kingdom,Drama,1950
"Mulher, A Quanto Obrigas",1950-02-02,6.2,0,9,0,101,United States of America,"Comédia, Romance",1950
情熱のルムバ,1950-12-29,0.0,0,0,0,86,Japan,Drama,1950
Duelo Sangrento,1950-03-01,5.3,0,21,0,78,United States of America,Faroeste,1950
Regimentsmusik,1950-08-31,5.0,0,3,0,0,Germany,Drama,1950
Oğlum İçin,1950-03-23,0.0,0,0,0,0,,,1950
Tarnished,1950-02-28,5.8,0,2,0,60,United States of America,"Crime, Ação, Aventura, Drama",1950
The Petty Girl,1950-08-17,3.643,0,7,0,87,United States of America,"Música, Comédia",1950
8 Ball Bunny,1950-07-08,6.757,0,68,0,7,United States of America,"Animação, Comédia, Aventura",1950
Kanske en gentleman,1950-12-26,5.0,50,1,60,91,Sweden,"Drama, Comédia",1950
Bait,1950-01-31,0.0,0,0,0,73,United Kingdom,"Crime, Drama",1950
Sombras do Mal,1950-06-15,7.502,0,278,0,95,United Kingdom,"Drama, Crime",1950
Падение Берлина,1950-01-21,4.8,0,15,0,167,Soviet Union,"Drama, Guerra",1950
The Next Voice You Hear...,1950-06-29,5.2,0,6,0,83,United States of America,"Drama, Fantasia",1950
Op og ned langs kysten,1950-08-04,6.0,0,1,0,0,Denmark,Comédia,1950
Tormento,1950-02-11,6.5,0,10,0,93,Italy,Drama,1950
Romance Carioca,1950-03-10,5.7,0,3,0,100,United States of America,"Música, Comédia",1950
No Sad Songs for Me,1950-04-27,6.2,0,6,0,88,United States of America,Drama,1950
Alma em Revolta,1950-08-03,5.9,0,19,0,99,United States of America,"Crime, Drama, Thriller",1950
Almas em Fúria,1950-07-22,7.2,0,78,0,109,United States of America,"Drama, Faroeste",1950
A Fractured Leghorn,1950-09-16,7.2,0,14,0,7,United States of America,Animação,1950
Snow Dog,1950-07-16,5.0,0,1,0,63,United States of America,"Faroeste, Aventura, Família",1950
Canary Row,1950-10-07,6.667,0,30,0,7,United States of America,"Animação, Comédia",1950
Estrela da Manhã,1950-08-24,0.0,0,0,0,0,Brazil,Drama,1950
Justiça Injusta,1950-12-12,6.4,0,48,0,85,United States of America,"Crime, Drama",1950
Border Rangers,1950-10-05,0.0,0,0,0,58,United States of America,Faroeste,1950
Mutiny on the Bunny,1950-02-11,6.833,0,18,0,7,United States of America,"Animação, Comédia",1950
Serras Sangrentas,1950-05-26,5.3,0,16,0,83,United States of America,Faroeste,1950
Segredo de Estado,1950-09-11,6.7,0,17,0,104,United Kingdom,"Thriller, Drama, Romance, Mistério",1950
Cinco grandes y una chica,1950-02-28,2.0,0,1,0,107,Argentina,Comédia,1950
A Fogo e Sangue,1950-10-18,4.4,0,6,0,87,United States of America,Faroeste,1950
Êxito Fugaz,1950-03-01,6.4,0,55,1500000,112,United States of America,"Drama, Música, Romance",1950
La vendedora de fantasías,1950-05-05,0.0,0,0,0,97,Argentina,Comédia,1950
Mamma gör revolution,1950-11-17,4.0,0,1,0,39,Sweden,Drama,1950
Gulnar,1950-12-31,0.0,0,0,0,0,,,1950
Pas de pitié pour les femmes,1950-08-30,0.0,0,0,0,95,France,"Drama, Mistério",1950
Ambush,1950-01-13,5.2,0,15,0,90,United States of America,Faroeste,1950
On the Isle of Samoa,1950-08-03,7.5,0,2,0,63,United States of America,Aventura,1950
Odette,1950-10-02,6.2,0,25,0,124,United Kingdom,"Guerra, Drama, História",1950
Torment,1950-02-03,5.5,0,2,0,77,,"Crime, Thriller",1950
A Woman of Distinction,1950-03-16,6.2,0,4,0,85,United States of America,Comédia,1950
Once a Thief,1950-07-07,4.95,0,10,0,88,United States of America,"Crime, Drama",1950
Rock Island Trail,1950-05-18,6.0,0,5,0,90,United States of America,Faroeste,1950
Případ dr. Kováře,1950-04-28,4.0,0,1,0,0,Czechoslovakia,Drama,1950
Gigant,1950-12-31,0.0,0,0,0,0,Czechoslovakia,Documentário,1950
A Marca Rubra,1950-11-03,6.135,0,26,0,104,United States of America,Faroeste,1950
A Mulher Sem Nome,1950-08-03,5.2,0,22,0,74,United States of America,"Thriller, Crime",1950
The Outriders,1950-03-01,7.0,0,13,0,93,United States of America,Faroeste,1950
Gabriela,1950-04-06,0.0,0,0,0,0,Germany,Drama,1950
Bitter Springs,1950-07-05,6.4,0,6,0,89,United Kingdom,"Drama, Aventura",1950
Mortalmente Perigosa,1950-01-20,7.4,0,303,0,87,United States of America,"Crime, Romance",1950
Radar Secret Service,1950-01-28,3.056,0,18,0,59,United States of America,"Romance, Ação, Aventura, Crime, Drama",1950
Verónica,1950-05-12,0.0,0,0,0,0,,Drama,1950
Mystery Submarine,1950-12-01,4.0,0,1,0,78,United States of America,"Guerra, Drama, Thriller",1950
Hot Rod,1950-10-22,5.7,0,3,0,61,United States of America,"Ação, Drama",1950
Storm Over Wyoming,1950-04-22,5.5,0,3,0,61,United States of America,Faroeste,1950
Nem o Céu Perdoa,1950-04-01,5.2,0,26,0,79,United States of America,"Crime, Drama",1950
Let's Dance,1950-11-29,5.6,0,7,0,112,United States of America,"Comédia, Romance",1950
El amor no es ciego,1950-07-26,4.25,0,8,0,0,Mexico,"Romance, Drama",1950
The Great Rupert,1950-03-01,5.679,0,28,0,88,United States of America,"Família, Comédia",1950
O Gavião do Deserto,1950-08-05,5.1,0,7,0,77,United States of America,"Ação, Aventura",1950
Երկրորդ քարավան,1950-12-31,6.0,0,1,0,106,Soviet Union,Drama,1950
The Elusive Pimpernel,1950-11-07,5.9,480000,9,140000,109,United Kingdom,"Aventura, Drama, Romance",1950
Guilty Bystander,1950-04-20,5.5,0,29,0,92,United States of America,"Drama, Crime, Mistério, Thriller",1950
Barrio bajo,1950-12-08,5.5,0,6,0,90,,,1950
The Sun Sets at Dawn,1950-11-01,6.0,0,9,0,71,United States of America,"Crime, Drama",1950
Shakespeare og Kronborg,1950-02-22,0.0,0,0,0,10,Denmark,"Drama, Fantasia",1950
The Torch,1950-06-02,4.8,0,10,0,83,"United States of America, Mexico","Ação, Aventura, Drama, Guerra",1950
As Old as the Hills,1950-07-15,0.0,0,0,0,11,United Kingdom,Animação,1950
Works of Calder,1950-12-31,0.0,0,0,0,20,United States of America,Documentário,1950
La portatrice di pane,1950-09-13,0.0,0,0,0,98,,Drama,1950
Please Believe Me,1950-05-12,4.8,0,8,0,87,United States of America,"Comédia, Romance",1950
Destino à Lua,1950-06-27,5.887,592000,93,5000000,91,United States of America,"Ficção científica, Aventura, Drama",1950
Cidade Negra,1950-10-17,6.457,0,47,0,98,United States of America,"Drama, Thriller, Crime",1950
Ang Bombero,1950-05-26,0.0,0,0,0,50,Philippines,Drama,1950
Again Pioneers,1950-11-01,3.5,0,2,0,72,United States of America,"Drama, Família",1950
Cyrano de Bergerac,1950-11-16,6.8,0,73,0,113,United States of America,"Romance, Drama, Aventura",1950
The Big Lift,1950-04-26,6.8,0,26,0,120,"Germany, United States of America","Guerra, Drama, Romance",1950
Colt .45,1950-05-27,6.2,0,20,0,74,United States of America,"Ação, Faroeste",1950
Conflitos de Amor,1950-09-27,7.3,0,137,0,110,France,"Romance, Comédia, Drama",1950
A Secretária do Malandro,1950-12-08,4.0,0,1,0,110,United States of America,"Comédia, Romance",1950
Il Mulatto,1950-04-08,0.0,0,0,0,95,,Guerra,1950
Fortunes of Captain Blood,1950-05-19,7.1,0,4,0,91,United States of America,"Ação, Aventura",1950
Königskinder,1950-01-20,0.0,0,0,0,95,,Comédia,1950
Domingo de Agosto,1950-03-07,6.2,0,46,0,75,Italy,"Comédia, Drama",1950
Pânico nas Ruas,1950-07-27,6.901,0,161,0,97,United States of America,"Thriller, Crime",1950
Dva ohně,1950-02-17,3.5,0,2,0,0,Czechoslovakia,Drama,1950
Rakkaus on nopeampi Piiroisen pässiäkin,1950-12-22,1.0,0,2,0,68,Finland,Comédia,1950
Bud Abbott and Lou Costello in the Foreign Legion,1950-08-05,6.0,0,35,0,80,United States of America,"Comédia, Aventura",1950
The Vanishing Westerner,1950-03-31,2.0,0,1,0,60,United States of America,Faroeste,1950
The Eagle and the Hawk,1950-10-01,5.4,0,7,0,104,United States of America,Faroeste,1950
The Hollywood Ten,1950-01-15,6.6,0,10,0,15,United States of America,Documentário,1950
O Anjo de Vingança,1950-12-25,5.7,0,11,0,81,United States of America,Faroeste,1950
Montana - Terra Proibida,1950-01-28,5.5,0,16,0,76,United States of America,"Faroeste, Ação, Aventura, Romance",1950
Breakthrough,1950-11-17,7.0,0,10,0,91,United States of America,Guerra,1950
Plavi 9,1950-12-22,5.0,0,3,0,95,Yugoslavia,Comédia,1950
Federal Agent at Large,1950-03-12,4.8,0,2,0,60,United States of America,Crime,1950
Motor Mania,1950-06-30,6.824,0,51,0,7,United States of America,"Animação, Família, Comédia",1950
影法師,1950-01-03,0.0,0,0,0,75,Japan,,1950
Slaphappy Sleuths,1950-11-09,6.8,0,4,0,16,United States of America,Comédia,1950
El señorito Octavio,1950-06-26,0.0,0,0,0,0,Spain,Drama,1950
Si fuera una cualquiera,1950-05-31,5.0,0,2,0,100,Mexico,Drama,1950
L'île de lumière,1950-01-01,0.0,0,0,0,31,,,1950
白い野獣,1950-06-03,5.5,0,10,0,97,Japan,Drama,1950
Заговор обреченных,1950-06-06,4.6,0,7,0,97,Soviet Union,Drama,1950
A Christmas Carol,1950-12-27,0.0,0,0,0,120,United Kingdom,"Drama, Fantasia",1950
Tyrant of the Sea,1950-02-22,6.0,0,1,0,70,,"História, Aventura, Guerra",1950
Borderline,1950-03-01,5.5,0,26,0,88,United States of America,"Crime, Drama, Thriller",1950
Totò sceicco,1950-11-30,6.737,0,57,0,93,Italy,Comédia,1950
Désordre,1950-12-02,5.0,0,4,0,18,France,Documentário,1950
A Mão Negra,1950-03-12,6.146,0,24,0,92,United States of America,"Crime, Drama, Thriller",1950
The Second Woman,1950-07-07,5.5,0,33,0,91,United States of America,"Drama, Mistério",1950
Território Comanche,1950-05-01,4.9,0,18,0,76,United States of America,Faroeste,1950
Beach Peach,1950-05-12,0.0,0,0,0,6,United States of America,"Animação, Comédia",1950
Once Upon a Rhyme,1950-12-15,6.5,0,2,0,8,United States of America,"Animação, Comédia",1950
A Valsa Eterna,1950-07-19,5.2,0,5,0,98,United Kingdom,"Romance, Drama, Música",1950
アマカラ珍騒動,1950-11-11,0.0,0,0,0,86,Japan,Comédia,1950
Tototarzan,1950-10-31,5.9,0,33,0,87,Italy,Comédia,1950
Two Weeks with Love,1950-11-10,6.2,0,11,0,92,United States of America,"Comédia, Música, Romance",1950
Bee at the Beach,1950-10-13,6.333,0,30,0,6,United States of America,"Animação, Comédia",1950
Das kalte Herz,1950-12-08,6.14,0,25,0,101,East Germany,"Família, Drama, Fantasia",1950
日本戦歿学生の手記 きけ、わだつみの声,1950-06-15,7.0,0,1,0,109,Japan,"Drama, Guerra",1950
Silver Raiders,1950-10-19,0.0,0,0,0,55,United States of America,Faroeste,1950
Restaurant Intim,1950-03-03,0.0,0,0,0,83,Sweden,Drama,1950
Trio,1950-10-10,6.3,0,12,0,91,United Kingdom,Drama,1950
Girls' School,1950-02-09,6.0,0,1,0,62,United States of America,,1950
Past,1950-11-17,7.0,0,1,0,94,Czechoslovakia,"Drama, Guerra",1950
暁の脱走,1950-01-08,5.7,0,3,0,116,Japan,"Guerra, Drama",1950
The Daltons' Women,1950-02-25,2.0,0,1,0,70,United States of America,Faroeste,1950
Чудотворни мач,1950-08-07,6.2,0,13,0,101,Yugoslavia,"Fantasia, Aventura",1950
Captive Girl,1950-07-01,3.9,0,9,0,73,United States of America,Aventura,1950
Rastro Sangrento,1950-10-04,6.469,0,49,0,81,United States of America,"Thriller, Crime",1950
Cargo to Capetown,1950-04-01,5.9,0,5,0,80,United States of America,"Drama, Aventura",1950
The Peachy Cobbler,1950-12-09,7.059,0,17,0,7,United States of America,"Animação, Comédia, Família",1950
The Man in Black,1950-01-31,5.6,0,11,0,78,United Kingdom,Thriller,1950
Cada Vida... Seu Destino,1950-02-21,5.4,0,16,0,85,United States of America,"Crime, Drama",1950
Sorveteiro em Apuros,1950-03-24,6.0,0,5,0,80,United States of America,"Aventura, Comédia, Crime",1950
What the Butler Saw,1950-06-01,5.167,0,6,0,61,United Kingdom,Comédia,1950
Dance Hall,1950-06-08,5.5,0,6,0,80,United Kingdom,"Drama, Romance",1950
Senhor 880,1950-09-29,7.1,0,34,0,90,United States of America,"Comédia, Crime, Romance",1950
Afrique 50,1950-12-31,6.8,0,28,0,17,France,Documentário,1950
Screen Actors,1950-05-13,6.0,0,2,0,9,United States of America,Documentário,1950
شاطئ الغرام,1950-02-20,6.0,0,1,0,120,Egypt,Romance,1950
Saddle Tramp,1950-09-21,6.3,0,10,0,76,United States of America,Faroeste,1950
Les Aventuriers de l'air,1950-10-20,0.0,0,0,0,83,,,1950
細路祥,1950-05-31,5.5,0,8,0,80,Hong Kong,Drama,1950
Timber Fury,1950-06-02,0.0,0,0,0,63,United States of America,,1950
Da Terra à Lua,1950-06-02,4.811,94000,53,0,77,United States of America,"Ficção científica, Aventura",1950
Il cielo è rosso,1950-03-15,8.0,0,1,0,99,,Drama,1950
Sideshow,1950-06-18,0.0,0,0,0,67,United States of America,"Mistério, Crime",1950
Quando Eu Te Amei,1950-08-24,4.864,0,11,0,97,United States of America,"Drama, Música, Romance",1950
七色の花,1950-10-14,1.0,0,2,0,101,Japan,Drama,1950
Captain China,1950-02-02,4.6,0,5,0,97,United States of America,"Ação, Aventura, Romance",1950
Buccaneer's Girl,1950-03-01,5.6,0,13,0,77,United States of America,"Aventura, Comédia, Ação, Romance",1950
Tête blonde,1950-09-01,3.0,0,1,0,90,,,1950
Strife with Father,1950-04-01,6.0,0,8,0,7,United States of America,"Animação, Família, Comédia",1950
Algemas de Cristal,1950-09-28,5.6,0,20,0,107,United States of America,Drama,1950
Mulheres e Luzes,1950-12-06,6.9,0,100,0,98,Italy,"Drama, Comédia",1950
Extorsão,1950-09-01,6.217,0,22,0,80,United States of America,"Crime, Drama, Thriller",1950
O Amanhã Que Não Virá,1950-08-19,6.9,0,44,0,103,United States of America,"Crime, Thriller",1950
Copper Canyon,1950-11-15,5.475,0,20,0,84,United States of America,Faroeste,1950
Le Crime des Justes,1950-04-19,0.0,0,0,0,88,France,Crime,1950
The Framed Cat,1950-10-21,7.1,0,37,0,7,United States of America,"Animação, Comédia",1950
A Patrulha da Morte,1950-10-01,5.625,0,29,0,89,United States of America,Crime,1950
Vulcano,1950-02-02,5.7,0,13,0,102,Italy,Drama,1950
Angústia de uma Alma,1950-05-31,6.9,0,43,0,81,United Kingdom,"Mistério, Thriller, Drama",1950
Outrage,1950-09-27,6.5,0,57,0,75,United States of America,"Drama, Crime",1950
Never a Dull Moment,1950-08-19,5.9,0,10,0,89,United States of America,"Romance, Comédia",1950
Žízeň,1950-03-24,4.5,0,2,0,0,Czechoslovakia,Drama,1950
Lúdas Matyi,1950-02-27,6.3,0,6,0,100,Hungary,Comédia,1950
Amor salvaje,1950-04-06,5.2,0,5,0,86,Mexico,"Drama, Romance",1950
The Twenty Questions Murder Mystery,1950-01-31,5.5,0,6,0,95,United Kingdom,"Mistério, Comédia, Crime",1950
Tapahtui kaukana,1950-07-14,3.0,0,1,0,75,Finland,"Comédia, Romance",1950
Ma pomme,1950-11-15,3.8,0,2,0,102,France,"Música, Comédia",1950
The Lawless,1950-06-01,5.8,0,15,0,83,United States of America,"Drama, Crime, Thriller",1950
La Belle que voilà,1950-04-21,0.0,0,0,0,115,,Drama,1950
El capitán Veneno,1950-10-12,4.7,0,3,0,85,Spain,Comédia,1950
The Body Said No!,1950-04-30,0.0,0,0,0,75,United Kingdom,Comédia,1950
いつの日君帰る,1950-06-03,0.0,0,0,0,72,Japan,,1950
North of the Great Divide,1950-11-15,8.0,0,1,0,67,United States of America,Faroeste,1950
Fantasias de Gato,1950-01-14,6.8,0,43,0,7,United States of America,"Animação, Comédia",1950
Huling Patak Ng Dugo,1950-08-13,0.0,0,0,0,0,Philippines,"Ação, Drama",1950
The Iroquois Trail,1950-06-15,5.8,0,4,0,85,United States of America,Faroeste,1950
Destination Murder,1950-06-09,5.1,0,19,0,72,United States of America,Crime,1950
This Side of the Law,1950-06-17,4.5,0,15,0,74,United States of America,Crime,1950
They Were Not Divided,1950-04-24,6.0,0,8,0,102,United Kingdom,Guerra,1950
La revoltosa,1950-03-23,6.2,0,5,0,109,Spain,"Comédia, Música",1950
Bonita e Valente,1950-05-17,6.7,3768785,82,8000000,107,United States of America,"Música, Comédia, Romance, Faroeste",1950
Der Fall Rabanser,1950-09-18,0.0,0,0,0,0,,Crime,1950
Safety Second,1950-07-01,6.7,0,42,0,7,United States of America,"Comédia, Animação",1950
Nuvens da Tempestade,1950-06-15,5.3,0,26,0,73,United States of America,"Drama, Thriller",1950
Coelho sem Lar,1950-02-24,6.972,0,36,0,7,United States of America,"Animação, Comédia",1950
Мусоргский,1950-11-27,4.5,0,6,0,120,Soviet Union,"História, Drama",1950
A Passagem do Diabo,1950-08-18,6.9,0,47,0,85,United States of America,Faroeste,1950
Situação Delicada,1950-12-15,6.938,0,40,0,7,United States of America,"Animação, Comédia",1950
Areia Movediça,1950-03-24,6.038,0,39,0,79,United States of America,"Crime, Thriller",1950
Alma Sem Pudor,1950-09-21,5.915,0,41,0,94,United States of America,Drama,1950
A Beleza do Diabo,1950-03-16,7.2,0,62,0,96,"France, Italy","Drama, Fantasia, Comédia",1950
Three Husbands,1950-11-10,5.077,0,13,0,78,United States of America,"Comédia, Romance",1950
Armas Fumegantes,1950-02-28,6.0,0,10,0,91,United States of America,Faroeste,1950
Cody of the Pony Express,1950-04-06,6.0,0,1,0,270,United States of America,"Ação, Aventura, Família, Faroeste",1950
Room to Let,1950-05-15,6.0,0,1,0,68,United Kingdom,"Mistério, Terror",1950
Radiomania,1950-11-01,7.0,0,19,0,85,United States of America,Comédia,1950
Romance de uma Esposa,1950-10-26,6.0,0,12,0,104,United States of America,Drama,1950
O Que a Vida Me Negou,1950-10-14,5.0,0,26,0,82,United States of America,"Drama, Crime, Romance",1950
Le Château de verre,1950-12-16,5.6,0,15,0,99,France,"Romance, Drama",1950
Смелые люди,1950-09-07,4.8,0,6,0,104,Soviet Union,"Ação, Drama, Guerra",1950
Over the Border,1950-03-12,0.0,0,0,0,58,United States of America,Faroeste,1950
Mule Train,1950-02-22,5.0,0,2,0,69,United States of America,Faroeste,1950
Когда зажигаются елки,1950-12-31,7.2,0,13,0,20,Soviet Union,Animação,1950
Crazy Over Daisy,1950-03-24,6.564,0,39,0,6,United States of America,"Animação, Comédia",1950
Quando a Noite Desce,1950-09-20,5.8,0,19,0,86,United States of America,"Crime, Mistério, Drama",1950
Kill or Be Killed,1950-04-30,5.7,0,6,0,67,United States of America,"Ação, Crime, Mistério, Thriller",1950
बाबुल,1950-12-15,0.0,0,0,0,142,India,Drama,1950
エノケンの豪傑一代男,1950-10-15,0.0,0,0,0,81,Japan,Comédia,1950
Trágico Amanhecer,1950-02-21,6.763,0,19,0,97,United Kingdom,Drama,1950
Mistério do Disco Voador,1950-10-25,4.714,152640,7,0,167,United States of America,"Ação, Ficção científica",1950
Taxi di notte,1950-09-09,5.0,0,1,0,82,Italy,Comédia,1950
The Angel with the Trumpet,1950-03-20,6.3,0,3,0,98,United Kingdom,Drama,1950
O Último Pirata,1950-10-25,5.5,0,2,0,79,United States of America,"Aventura, Guerra, Ação",1950
Camp Dog,1950-09-22,6.6,0,12,0,7,United States of America,Animação,1950
Ο Μεθύστακας,1950-01-23,5.455,0,11,0,105,Greece,Drama,1950
Der Seelenbräu,1950-04-14,6.8,0,2,0,0,Austria,Drama,1950
Dieu a besoin des hommes,1950-10-03,6.2,0,5,0,100,France,Drama,1950
